n_components,random_state,standardization,weighted,whiten,algorithm,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test
0.05,0.0,0.0,1.0,1.0,PCA,-17.36623992287676,28619.0,-18.07981533488789,17876.0,"[1, 2, 7, 8, 43, 12852, 13983, 13991, 15343, 15652, 15711, 15713, 15783, 15788, 15790, 15791, 15792, 15827, 15838, 16716, 16726, 16735, 16737, 16740, 16747, 16792, 16795, 16796, 16804, 16879, 16884, 16937, 16945, 16948, 16949, 16950, 17002, 17016, 17096, 17097, 17098, 17100, 17102, 17104, 17110, 17111, 23521, 23522, 28618, 28619]",15502.22,5898.852397848245,"[1, 2, 3, 4, 6, 8, 10, 13, 15, 20, 22, 30, 7329, 7344, 14091, 14874, 14905, 14911, 14918, 14920, 15807, 15808, 15817, 16214, 16407, 16411, 16412, 16413, 16458, 16459, 16469, 16490, 16500, 16515, 16516, 16523, 16524, 16526, 16527, 16528, 16557, 16564, 16568, 16569, 17469, 17475, 17507, 17509, 17510, 17513, 17514, 17515, 17519, 17521, 17530, 17531, 17543, 17570, 17598, 17604, 17605, 17608, 17656, 17659, 17675, 17710, 17723, 17757, 17758, 17769, 17770, 17774, 17775, 17776, 17810, 17818, 17823, 17824, 17865, 17866, 17867, 17868, 17870, 17872, 17875, 17876]",14414.941860465116,6038.930061469288,0.0623273350160624,0.1059639690950058,0.5786125027227182,0.6149234516635376
0.4,0.0,0.0,0.0,1.0,PCA,-12.468577455498272,36573.0,-13.040594640702528,17880.0,"[1, 2, 7, 8, 33, 6640, 6779, 7170, 8301, 8315, 8373, 8374, 8409, 8414, 8415, 8416, 8419, 8456, 8466, 8568, 8570, 8582, 8586, 8602, 8604, 8653, 8664, 8738, 8741, 8790, 8792, 8795, 8802, 8803, 8804, 8807, 8858, 8871, 15451, 15452, 15711, 15819, 16029, 16031, 17109, 17110, 30165, 30166, 36572, 36573]",10816.32,7848.993442321123,"[1, 2, 3, 4, 6, 8, 10, 14, 15, 24, 25, 27, 161, 7292, 7294, 7300, 7400, 7413, 7800, 7803, 7814, 8717, 8722, 8726, 8748, 8753, 8754, 8756, 8789, 8790, 8799, 8821, 8831, 8847, 8848, 8854, 8855, 8857, 8858, 8859, 8889, 8894, 8898, 8899, 8927, 8941, 8970, 8977, 8986, 8989, 8991, 8992, 8999, 9003, 9007, 9038, 9042, 9045, 9069, 9075, 9076, 9078, 9126, 9128, 9144, 9181, 9195, 9227, 9228, 9237, 9238, 9244, 9246, 9247, 9281, 9288, 9293, 9294, 16451, 16452, 17003, 17004, 17006, 17007, 17879, 17880]",8251.906976744185,4237.690059201865,0.0638333214880453,0.1070927338436724,0.7061963624482683,0.7800592969978246
0.4,0.0,0.0,0.0,0.0,PCA,-12.468577455498272,36573.0,-13.040594640702528,17880.0,"[1, 2, 7, 8, 33, 6640, 6779, 7170, 8301, 8315, 8373, 8374, 8409, 8414, 8415, 8416, 8419, 8456, 8466, 8568, 8570, 8582, 8586, 8602, 8604, 8653, 8664, 8738, 8741, 8790, 8792, 8795, 8802, 8803, 8804, 8807, 8858, 8871, 15451, 15452, 15711, 15819, 16029, 16031, 17109, 17110, 30165, 30166, 36572, 36573]",10816.32,7848.993442321123,"[1, 2, 3, 4, 6, 8, 10, 14, 15, 24, 25, 27, 161, 7292, 7294, 7300, 7400, 7413, 7800, 7803, 7814, 8717, 8722, 8726, 8748, 8753, 8754, 8756, 8789, 8790, 8799, 8821, 8831, 8847, 8848, 8854, 8855, 8857, 8858, 8859, 8889, 8894, 8898, 8899, 8927, 8941, 8970, 8977, 8986, 8989, 8991, 8992, 8999, 9003, 9007, 9038, 9042, 9045, 9069, 9075, 9076, 9078, 9126, 9128, 9144, 9181, 9195, 9227, 9228, 9237, 9238, 9244, 9246, 9247, 9281, 9288, 9293, 9294, 16451, 16452, 17003, 17004, 17006, 17007, 17879, 17880]",8251.906976744185,4237.690059201865,0.0638333214880453,0.1070927338436724,0.7061963624482683,0.7800592969978246
0.6,0.0,0.0,1.0,1.0,PCA,-86.34508759795588,36778.0,-90.74814298328512,24924.0,"[1, 2, 7, 8, 31, 6670, 7917, 7944, 8309, 8320, 8367, 8369, 8404, 8410, 8411, 8414, 8416, 8450, 8460, 8530, 8539, 8590, 8604, 8605, 8613, 8666, 8667, 8669, 8676, 8704, 8709, 8710, 8713, 8714, 8746, 8756, 8774, 8776, 8834, 8835, 8965, 8966, 8968, 8970, 24283, 24284, 36775, 36776, 36777, 36778]",10577.64,8771.50927665245,"[1, 2, 3, 4, 5, 8, 11, 13, 15, 19, 25, 27, 89, 7257, 7280, 7290, 7776, 8635, 8683, 8684, 8692, 8712, 8735, 8741, 8742, 8743, 8755, 8781, 8782, 8790, 8792, 8797, 8812, 8820, 8835, 8857, 8858, 8861, 8862, 8864, 8871, 8872, 8896, 8902, 8907, 8908, 8933, 8934, 8957, 8959, 8970, 8993, 9011, 9018, 9019, 9020, 9052, 9053, 9057, 9061, 9063, 9065, 9077, 9085, 9092, 9099, 9103, 9116, 9117, 9120, 9121, 9123, 9131, 9132, 9157, 9162, 9166, 9167, 9239, 9240, 9354, 9357, 9358, 9360, 24923, 24924]",7917.46511627907,4131.571539779749,0.0642305935464907,0.1110812173552141,0.7126949466347201,0.7890205215219562
0.6,0.0,0.0,1.0,0.0,PCA,-86.34508759795588,36778.0,-90.74814298328512,24924.0,"[1, 2, 7, 8, 31, 6670, 7917, 7944, 8309, 8320, 8367, 8369, 8404, 8410, 8411, 8414, 8416, 8450, 8460, 8530, 8539, 8590, 8604, 8605, 8613, 8666, 8667, 8669, 8676, 8704, 8709, 8710, 8713, 8714, 8746, 8756, 8774, 8776, 8834, 8835, 8965, 8966, 8968, 8970, 24283, 24284, 36775, 36776, 36777, 36778]",10577.64,8771.50927665245,"[1, 2, 3, 4, 5, 8, 11, 13, 15, 19, 25, 27, 89, 7257, 7280, 7290, 7776, 8635, 8683, 8684, 8692, 8712, 8735, 8741, 8742, 8743, 8755, 8781, 8782, 8790, 8792, 8797, 8812, 8820, 8835, 8857, 8858, 8861, 8862, 8864, 8871, 8872, 8896, 8902, 8907, 8908, 8933, 8934, 8957, 8959, 8970, 8993, 9011, 9018, 9019, 9020, 9052, 9053, 9057, 9061, 9063, 9065, 9077, 9085, 9092, 9099, 9103, 9116, 9117, 9120, 9121, 9123, 9131, 9132, 9157, 9162, 9166, 9167, 9239, 9240, 9354, 9357, 9358, 9360, 24923, 24924]",7917.46511627907,4131.571539779749,0.0642305935464907,0.1110812173552141,0.7126949466347201,0.7890205215219562
0.6,0.0,0.0,0.0,1.0,PCA,-18.586185356317547,36778.0,-19.460221976234955,17151.0,"[1, 2, 7, 8, 32, 6669, 7168, 7943, 8310, 8317, 8371, 8373, 8403, 8409, 8410, 8411, 8415, 8450, 8460, 8550, 8557, 8582, 8592, 8604, 8608, 8623, 8632, 8684, 8688, 8718, 8723, 8724, 8725, 8729, 8761, 8771, 8788, 8789, 8899, 8900, 8959, 8961, 8962, 8964, 16162, 16163, 36775, 36776, 36777, 36778]",10241.66,8404.59523739246,"[1, 2, 3, 4, 5, 8, 11, 13, 15, 19, 24, 27, 143, 7269, 7283, 7312, 7762, 7777, 8676, 8677, 8687, 8714, 8742, 8747, 8748, 8749, 8752, 8753, 8783, 8784, 8795, 8816, 8832, 8851, 8852, 8856, 8857, 8859, 8864, 8865, 8889, 8891, 8897, 8902, 8903, 8916, 8950, 8954, 8971, 8972, 8977, 8999, 9011, 9016, 9025, 9028, 9029, 9036, 9037, 9038, 9039, 9040, 9072, 9073, 9085, 9106, 9119, 9138, 9139, 9142, 9143, 9145, 9150, 9151, 9177, 9183, 9187, 9188, 9296, 9297, 9341, 9342, 9343, 9344, 17150, 17151]",7731.616279069767,3505.069730814856,0.0641678172079964,0.110688729720172,0.7218427357874102,0.7940002604681073
0.6,0.0,0.0,0.0,0.0,PCA,-18.586185356317547,36778.0,-19.460221976234955,17151.0,"[1, 2, 7, 8, 32, 6669, 7168, 7943, 8310, 8317, 8371, 8373, 8403, 8409, 8410, 8411, 8415, 8450, 8460, 8550, 8557, 8582, 8592, 8604, 8608, 8623, 8632, 8684, 8688, 8718, 8723, 8724, 8725, 8729, 8761, 8771, 8788, 8789, 8899, 8900, 8959, 8961, 8962, 8964, 16162, 16163, 36775, 36776, 36777, 36778]",10241.66,8404.59523739246,"[1, 2, 3, 4, 5, 8, 11, 13, 15, 19, 24, 27, 143, 7269, 7283, 7312, 7762, 7777, 8676, 8677, 8687, 8714, 8742, 8747, 8748, 8749, 8752, 8753, 8783, 8784, 8795, 8816, 8832, 8851, 8852, 8856, 8857, 8859, 8864, 8865, 8889, 8891, 8897, 8902, 8903, 8916, 8950, 8954, 8971, 8972, 8977, 8999, 9011, 9016, 9025, 9028, 9029, 9036, 9037, 9038, 9039, 9040, 9072, 9073, 9085, 9106, 9119, 9138, 9139, 9142, 9143, 9145, 9150, 9151, 9177, 9183, 9187, 9188, 9296, 9297, 9341, 9342, 9343, 9344, 17150, 17151]",7731.616279069767,3505.069730814856,0.0641678172079964,0.110688729720172,0.7218427357874102,0.7940002604681073
0.8,0.0,0.0,1.0,1.0,PCA,-168.3887555192636,36776.0,-175.84531389997764,32877.0,"[1, 2, 7, 8, 6528, 7088, 14215, 21000, 22984, 23063, 23067, 23068, 23094, 23103, 23165, 23166, 23190, 23199, 23200, 23209, 23213, 23239, 23250, 29423, 29431, 29846, 29849, 29872, 29881, 29882, 29891, 29895, 29919, 29929, 30603, 30604, 30808, 30844, 30931, 31670, 31671, 31672, 31970, 32067, 32068, 32072, 36773, 36774, 36775, 36776]",24959.1,9645.03713263977,"[1, 2, 3, 4, 5, 7, 11, 13, 17, 19, 28, 29, 32, 6754, 9329, 9438, 12653, 13176, 13611, 14543, 23077, 23079, 23456, 23457, 23563, 23650, 23659, 23730, 23746, 23748, 23750, 23751, 23760, 23766, 23767, 23769, 23771, 23802, 23807, 23816, 23840, 23854, 23877, 23878, 23879, 23881, 23882, 23883, 23894, 23895, 23914, 23920, 23926, 23927, 23940, 30663, 30664, 30668, 30696, 30700, 31104, 31121, 31133, 31154, 31155, 31157, 31158, 31159, 31170, 31171, 31189, 31196, 31200, 31201, 31668, 31669, 32246, 32773, 32774, 32775, 32776, 32777, 32874, 32875, 32876, 32877]",21995.441860465115,10854.570228768662,0.0594586907681227,0.1106285887062529,0.321128294489218,0.4118072436305265
0.8,0.0,0.0,1.0,0.0,PCA,-168.3887555192636,36776.0,-175.84531389997764,32877.0,"[1, 2, 7, 8, 6528, 7088, 14215, 21000, 22984, 23063, 23067, 23068, 23094, 23103, 23165, 23166, 23190, 23199, 23200, 23209, 23213, 23239, 23250, 29423, 29431, 29846, 29849, 29872, 29881, 29882, 29891, 29895, 29919, 29929, 30603, 30604, 30808, 30844, 30931, 31670, 31671, 31672, 31970, 32067, 32068, 32072, 36773, 36774, 36775, 36776]",24959.1,9645.03713263977,"[1, 2, 3, 4, 5, 7, 11, 13, 17, 19, 28, 29, 32, 6754, 9329, 9438, 12653, 13176, 13611, 14543, 23077, 23079, 23456, 23457, 23563, 23650, 23659, 23730, 23746, 23748, 23750, 23751, 23760, 23766, 23767, 23769, 23771, 23802, 23807, 23816, 23840, 23854, 23877, 23878, 23879, 23881, 23882, 23883, 23894, 23895, 23914, 23920, 23926, 23927, 23940, 30663, 30664, 30668, 30696, 30700, 31104, 31121, 31133, 31154, 31155, 31157, 31158, 31159, 31170, 31171, 31189, 31196, 31200, 31201, 31668, 31669, 32246, 32773, 32774, 32775, 32776, 32777, 32874, 32875, 32876, 32877]",21995.441860465115,10854.570228768662,0.0594586907681227,0.1106285887062529,0.321128294489218,0.4118072436305265
0.8,0.0,0.0,0.0,1.0,PCA,-24.690146937962183,36778.0,-25.77523651127337,32711.0,"[1, 2, 7, 8, 30, 6687, 8282, 8297, 8377, 8388, 8446, 8449, 8478, 8483, 8484, 8488, 8491, 8525, 8535, 8562, 8571, 8599, 8601, 8633, 8643, 8696, 8699, 8725, 8731, 8732, 8736, 8739, 8769, 8779, 8794, 8798, 8963, 8975, 9007, 9008, 16187, 16478, 17964, 17975, 31398, 31399, 36774, 36775, 36777, 36778]",11574.46,9425.307114805331,"[1, 2, 3, 4, 5, 8, 11, 14, 15, 19, 26, 27, 69, 7241, 7760, 7788, 8699, 8703, 8733, 8735, 8743, 8748, 8759, 8760, 8768, 8771, 8791, 8795, 8796, 8799, 8832, 8834, 8847, 8869, 8882, 8910, 8911, 8912, 8913, 8916, 8924, 8925, 8947, 8952, 8956, 8957, 8960, 8963, 8976, 8977, 8982, 8993, 8994, 9011, 9030, 9034, 9035, 9037, 9068, 9069, 9078, 9100, 9114, 9135, 9136, 9137, 9138, 9142, 9153, 9154, 9175, 9180, 9184, 9185, 9384, 9392, 9401, 9409, 9438, 9439, 19018, 19097, 19108, 19124, 32710, 32711]",8609.89534883721,5473.024237384813,0.0641235701058664,0.1106060059415061,0.6855543454585058,0.7704671539123493
0.8,0.0,0.0,0.0,0.0,PCA,-24.690146937962183,36778.0,-25.77523651127337,32711.0,"[1, 2, 7, 8, 30, 6687, 8282, 8297, 8377, 8388, 8446, 8449, 8478, 8483, 8484, 8488, 8491, 8525, 8535, 8562, 8571, 8599, 8601, 8633, 8643, 8696, 8699, 8725, 8731, 8732, 8736, 8739, 8769, 8779, 8794, 8798, 8963, 8975, 9007, 9008, 16187, 16478, 17964, 17975, 31398, 31399, 36774, 36775, 36777, 36778]",11574.46,9425.307114805331,"[1, 2, 3, 4, 5, 8, 11, 14, 15, 19, 26, 27, 69, 7241, 7760, 7788, 8699, 8703, 8733, 8735, 8743, 8748, 8759, 8760, 8768, 8771, 8791, 8795, 8796, 8799, 8832, 8834, 8847, 8869, 8882, 8910, 8911, 8912, 8913, 8916, 8924, 8925, 8947, 8952, 8956, 8957, 8960, 8963, 8976, 8977, 8982, 8993, 8994, 9011, 9030, 9034, 9035, 9037, 9068, 9069, 9078, 9100, 9114, 9135, 9136, 9137, 9138, 9142, 9153, 9154, 9175, 9180, 9184, 9185, 9384, 9392, 9401, 9409, 9438, 9439, 19018, 19097, 19108, 19124, 32710, 32711]",8609.89534883721,5473.024237384813,0.0641235701058664,0.1106060059415061,0.6855543454585058,0.7704671539123493
0.05,0.0,0.0,1.0,0.0,PCA,-17.36623992287676,28619.0,-18.07981533488789,17876.0,"[1, 2, 7, 8, 43, 12852, 13983, 13991, 15343, 15652, 15711, 15713, 15783, 15788, 15790, 15791, 15792, 15827, 15838, 16716, 16726, 16735, 16737, 16740, 16747, 16792, 16795, 16796, 16804, 16879, 16884, 16937, 16945, 16948, 16949, 16950, 17002, 17016, 17096, 17097, 17098, 17100, 17102, 17104, 17110, 17111, 23521, 23522, 28618, 28619]",15502.22,5898.852397848245,"[1, 2, 3, 4, 6, 8, 10, 13, 15, 20, 22, 30, 7329, 7344, 14091, 14874, 14905, 14911, 14918, 14920, 15807, 15808, 15817, 16214, 16407, 16411, 16412, 16413, 16458, 16459, 16469, 16490, 16500, 16515, 16516, 16523, 16524, 16526, 16527, 16528, 16557, 16564, 16568, 16569, 17469, 17475, 17507, 17509, 17510, 17513, 17514, 17515, 17519, 17521, 17530, 17531, 17543, 17570, 17598, 17604, 17605, 17608, 17656, 17659, 17675, 17710, 17723, 17757, 17758, 17769, 17770, 17774, 17775, 17776, 17810, 17818, 17823, 17824, 17865, 17866, 17867, 17868, 17870, 17872, 17875, 17876]",14414.941860465116,6038.930061469288,0.0623273350160624,0.1059639690950058,0.5786125027227182,0.6149234516635376
